epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.6061,1.50367,2.92389,1.28524,0.72511,0.23711,0.37707,0.1769,1.43599,3.59914,1.19042,0.000651515,0.000651515,0.000651515
2,122.257,1.61698,2.102,1.30496,0.29672,0.23711,0.16774,0.08023,1.49202,3.33363,1.4312,0.00129208,0.00129208,0.00129208
3,185.519,1.5662,1.96546,1.31374,0.61789,0.65016,0.57481,0.27323,1.54724,2.71871,1.28761,0.00190625,0.00190625,0.00190625
4,248.818,1.53703,1.79811,1.30134,0.72972,0.63918,0.65207,0.35591,1.58946,2.285,1.46665,0.0018812,0.0018812,0.0018812
5,308.611,1.57018,1.63639,1.30865,0.82634,0.6868,0.72045,0.35776,1.54725,1.92028,1.41988,0.0018416,0.0018416,0.0018416
6,371.73,1.55761,1.52805,1.32991,0.87357,0.68041,0.75885,0.38219,1.50421,1.79678,1.37951,0.001802,0.001802,0.001802
7,431.846,1.48167,1.3765,1.32245,0.87114,0.75258,0.85546,0.43749,1.58105,1.51085,1.49112,0.0017624,0.0017624,0.0017624
8,493.098,1.44726,1.30195,1.26848,0.84787,0.63204,0.75148,0.388,1.57242,1.63623,1.349,0.0017228,0.0017228,0.0017228
9,555.959,1.49996,1.30608,1.29064,0.74626,0.63676,0.72769,0.39264,1.46531,1.96489,1.33473,0.0016832,0.0016832,0.0016832
10,618.628,1.51055,1.2824,1.28292,0.76308,0.7305,0.80638,0.44641,1.42012,1.43775,1.29097,0.0016436,0.0016436,0.0016436
11,679.664,1.47977,1.16334,1.27737,0.86026,0.69814,0.82028,0.46465,1.38137,1.28531,1.23961,0.001604,0.001604,0.001604
12,740.385,1.43707,1.11317,1.23762,0.8177,0.73196,0.83049,0.44182,1.42075,1.2986,1.3404,0.0015644,0.0015644,0.0015644
13,798.172,1.42655,1.09943,1.23007,0.9583,0.71079,0.85016,0.45411,1.50034,1.26185,1.31473,0.0015248,0.0015248,0.0015248
14,856.304,1.42635,1.02166,1.23716,0.90494,0.78514,0.88114,0.5109,1.39121,1.07513,1.28286,0.0014852,0.0014852,0.0014852
15,914.015,1.40314,1.02634,1.23303,0.89499,0.70294,0.85504,0.46895,1.43901,1.12728,1.296,0.0014456,0.0014456,0.0014456
16,974.03,1.45756,1.03772,1.26234,0.86367,0.82474,0.8657,0.44628,1.48208,1.14545,1.29572,0.001406,0.001406,0.001406
17,1034.56,1.41887,1.00758,1.23524,0.82773,0.743,0.8618,0.50074,1.35259,1.04819,1.25108,0.0013664,0.0013664,0.0013664
18,1097.55,1.37921,0.98329,1.22083,0.76984,0.83505,0.85379,0.49982,1.37035,1.02071,1.2569,0.0013268,0.0013268,0.0013268
19,1160.34,1.34994,0.91429,1.178,0.89366,0.76289,0.88109,0.50817,1.44611,0.99878,1.28675,0.0012872,0.0012872,0.0012872
20,1222.97,1.36706,0.93685,1.2248,0.77203,0.78351,0.83455,0.48262,1.34632,1.05302,1.23834,0.0012476,0.0012476,0.0012476
21,1285.54,1.29942,0.86991,1.17598,0.87754,0.81261,0.88768,0.50894,1.43317,0.9503,1.24548,0.001208,0.001208,0.001208
22,1348.73,1.39121,0.899,1.23414,0.8531,0.83505,0.87124,0.50343,1.3565,1.04257,1.25666,0.0011684,0.0011684,0.0011684
23,1413.4,1.30434,0.85728,1.18538,0.88508,0.87345,0.89992,0.53141,1.36871,0.9373,1.22219,0.0011288,0.0011288,0.0011288
24,1477.71,1.33778,0.88082,1.26655,0.81176,0.84536,0.88809,0.50789,1.47176,0.97862,1.28183,0.0010892,0.0010892,0.0010892
25,1539.91,1.3058,0.83344,1.16211,0.87884,0.82261,0.87297,0.49666,1.40138,1.00357,1.2711,0.0010496,0.0010496,0.0010496
26,1602.99,1.25674,0.80399,1.13531,0.85783,0.8709,0.8973,0.52604,1.38799,0.92362,1.24305,0.00101,0.00101,0.00101
27,1665.27,1.27469,0.79891,1.14129,0.8528,0.8362,0.88818,0.55342,1.33236,0.86149,1.22215,0.0009704,0.0009704,0.0009704
28,1730.1,1.24628,0.79388,1.19255,0.88244,0.85128,0.89536,0.54997,1.30848,0.88854,1.21163,0.0009308,0.0009308,0.0009308
29,1795.02,1.21977,0.80075,1.16291,0.89158,0.80412,0.86659,0.51235,1.35538,0.94097,1.23641,0.0008912,0.0008912,0.0008912
30,1857.89,1.21079,0.75747,1.16142,0.85511,0.84536,0.88804,0.5263,1.38849,0.90776,1.24397,0.0008516,0.0008516,0.0008516
31,1916.51,1.20352,0.76014,1.1486,0.85921,0.87629,0.89734,0.51519,1.41251,0.88373,1.2578,0.000812,0.000812,0.000812
32,1975.11,1.20926,0.74938,1.12853,0.82586,0.88005,0.88849,0.53579,1.39269,0.88031,1.2459,0.0007724,0.0007724,0.0007724
33,2033.48,1.20003,0.75066,1.12875,0.87059,0.87629,0.9006,0.55066,1.36725,0.82516,1.26375,0.0007328,0.0007328,0.0007328
34,2095.24,1.20372,0.71425,1.14475,0.86998,0.85567,0.89207,0.53143,1.37877,0.82134,1.27428,0.0006932,0.0006932,0.0006932
35,2162.73,1.26906,0.76009,1.16624,0.86611,0.85567,0.88128,0.52355,1.39065,0.8455,1.26891,0.0006536,0.0006536,0.0006536
36,2225.41,1.18226,0.69622,1.10925,0.85708,0.8655,0.88561,0.53324,1.34538,0.85206,1.24274,0.000614,0.000614,0.000614
37,2293.62,1.12075,0.68492,1.10008,0.8806,0.83634,0.89721,0.52029,1.39265,0.8716,1.26759,0.0005744,0.0005744,0.0005744
38,2353.63,1.13147,0.66766,1.10872,0.8893,0.84536,0.92104,0.53843,1.36857,0.82433,1.2971,0.0005348,0.0005348,0.0005348
39,2414.55,1.10274,0.65182,1.07974,0.91194,0.85567,0.91611,0.54041,1.30785,0.81464,1.26154,0.0004952,0.0004952,0.0004952
40,2474.15,1.13693,0.6481,1.09063,0.91928,0.80412,0.89813,0.55307,1.26325,0.81855,1.23653,0.0004556,0.0004556,0.0004556
41,2532.64,1.11614,0.67265,1.1119,0.89858,0.83505,0.89446,0.55028,1.29513,0.87186,1.24335,0.000416,0.000416,0.000416
42,2590.56,1.10743,0.64591,1.10815,0.85921,0.88082,0.90416,0.55099,1.29786,0.78308,1.24804,0.0003764,0.0003764,0.0003764
43,2650.57,1.11269,0.62865,1.09591,0.89103,0.84296,0.89622,0.54808,1.27746,0.78376,1.23243,0.0003368,0.0003368,0.0003368
44,2712.86,1.05624,0.60133,1.0755,0.90319,0.86563,0.90534,0.55426,1.28421,0.78175,1.23114,0.0002972,0.0002972,0.0002972
45,2773.11,1.02449,0.5721,1.06853,0.90504,0.88427,0.90793,0.55173,1.30608,0.7961,1.23219,0.0002576,0.0002576,0.0002576
46,2831.71,1.02021,0.57231,1.05261,0.89026,0.85567,0.88986,0.53634,1.32687,0.83082,1.24454,0.000218,0.000218,0.000218
47,2890.12,1.0477,0.58327,1.07509,0.88082,0.87629,0.90636,0.54586,1.30797,0.81482,1.2441,0.0001784,0.0001784,0.0001784
48,2948.63,1.02859,0.56072,1.06331,0.89541,0.84536,0.89818,0.54681,1.32531,0.8035,1.24973,0.0001388,0.0001388,0.0001388
49,3007.46,0.99495,0.553,1.05715,0.89574,0.84536,0.89873,0.55035,1.30733,0.79462,1.24065,9.92e-05,9.92e-05,9.92e-05
50,3066.09,1.00568,0.5539,1.05365,0.91242,0.85927,0.90307,0.55857,1.29767,0.77483,1.23862,5.96e-05,5.96e-05,5.96e-05
